Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
866,間違える,まちがえる,"mistake, confuse",電話番号を<b>間違えました</b>。,でんわ ばんごう を <b>まちがえました</b>,I called the wrong number.,間違[まちが]える,電話番号[でんわ ばんごう]を<b> 間違[まちが]えました</b>。,電話番号[でんわ ばんごう]を<b>（　）</b>。
867,間違う,まちがう,"be mistaken, be incorrect",あなたは<b>間違っている</b>。,あなた は <b>まちがって いる</b>,You're mistaken.,間違[まちが]う,あなたは<b> 間違[まちが]っている</b>。,あなたは<b>（　）</b>。
868,世界,せかい,world,私は<b>世界</b>旅行をしたい。,わたし は <b>せかい</b> りょこう を したい,I want to travel around the world.,世界[せかい],私[わたし]は<b> 世界[せかい]</b> 旅行[りょこう]をしたい。,私[わたし]は<b>（　）</b> 旅行[りょこう]をしたい。
869,多く,おおく,"much, largely",毎年<b>多く</b>の人が海外へ旅行する。,まいとし <b>おおく</b> の ひと が かいがい へ りょこう する,A lot of people travel abroad every year.,多[おお]く,毎年[まいとし]<b> 多[おお]く</b>の 人[ひと]が 海外[かいがい]へ 旅行[りょこう]する。,毎年[まいとし]<b>（　）</b>の 人[ひと]が 海外[かいがい]へ 旅行[りょこう]する。
870,毎年,まいとし,every year,私は<b>毎年</b>、海外旅行に行きます。,わたし は <b>まいとし</b> かいがい りょこう に いきます,I travel abroad every year.,毎年[まいとし],私[わたし]は<b> 毎年[まいとし]</b>、 海外旅行[かいがい りょこう]に 行[い]きます。,私[わたし]は<b>（　）</b>、 海外旅行[かいがい りょこう]に 行[い]きます。
871,フィルム,フィルム,film,旅行のためにたくさん<b>フィルム</b>を買った。,りょこう の ため に たくさん <b>ふぃるむ</b> を かった,I bought a lot of film for the trip.,フィルム,旅行[りょこう]のためにたくさん<b>フィルム</b>を 買[か]った。,旅行[りょこう]のためにたくさん<b>（　）</b>を 買[か]った。
872,思い出,おもいで,"recollections, memory",旅行で楽しい<b>思い出</b>ができました。,りょこう で たのしい <b>おもいで</b> が できました,I made wonderful memories during my trip.,思[おも]い 出[で],旅行[りょこう]で 楽[たの]しい<b> 思[おも]い 出[で]</b>ができました。,旅行[りょこう]で 楽[たの]しい<b>（　）</b>ができました。
873,一昨年,おととし,the year before last,<b>一昨年</b>初めて京都へ旅行しました。,<b>おととし</b> はじめて きょうと へ りょこう しました,I first traveled to Kyoto the year before last.,一昨年[おととし],<b> 一昨年[おととし]</b> 初[はじ]めて 京都[きょうと]へ 旅行[りょこう]しました。,<b>（　）</b> 初[はじ]めて 京都[きょうと]へ 旅行[りょこう]しました。
874,やっぱり,やっぱり,"just as I thought, after all",<b>やっぱり</b>旅が大好きだ。,<b>やっぱり</b> たび が だいすき だ,I just love to travel.,やっぱり,<b>やっぱり</b> 旅[たび]が 大好[だいす]きだ。,<b>（　）</b> 旅[たび]が 大好[だいす]きだ。
875,利用,りよう,"utilization, usage",私はよく図書館を<b>利用</b>します。,わたし は よく としょかん を <b>りよう</b> します,I often use the library.,利用[りよう],私[わたし]はよく 図書館[としょかん]を<b> 利用[りよう]</b>します。,私[わたし]はよく 図書館[としょかん]を<b>（　）</b>します。
876,返す,かえす,"return, repay",図書館に本を<b>返した</b>。,としょかん に ほん を <b>かえした</b>,I returned the book to the library.,返[かえ]す,図書館[としょかん]に 本[ほん]を<b> 返[かえ]した</b>。,図書館[としょかん]に 本[ほん]を<b>（　）</b>。
877,がらがら,がらがら,empty,映画館は<b>がらがら</b>でした。,えいがかん は <b>がらがら</b> でした,The movie theater was empty.,がらがら,映画館[えいがかん]は<b>がらがら</b>でした。,映画館[えいがかん]は<b>（　）</b>でした。
878,旅館,りょかん,Japanese inn,京都では<b>旅館</b>に泊まりました。,きょうと で は <b>りょかん</b> に とまりました,I stayed at an inn in Kyoto.,旅館[りょかん],京都[きょうと]では<b> 旅館[りょかん]</b>に 泊[と]まりました。,京都[きょうと]では<b>（　）</b>に 泊[と]まりました。
879,泊める,とめる,"lodge, give shelter",友達をうちに<b>泊めてあげました</b>。,ともだち を うち に <b>とめて あげました</b>,I put my friend up at my house.,泊[と]める,友達[ともだち]をうちに<b> 泊[と]めてあげました</b>。,友達[ともだち]をうちに<b>（　）</b>。
880,トランプ,トランプ,"(a pack of) cards, (playing) cards",友達と<b>トランプ</b>をして遊びました。,ともだち と <b>とらんぷ</b> を して あそびました,I played cards with a friend.,トランプ,友達[ともだち]と<b>トランプ</b>をして 遊[あそ]びました。,友達[ともだち]と<b>（　）</b>をして 遊[あそ]びました。
881,おばさん,おばさん,aunt,<b>おばさん</b>一家が遊びに来ました。,<b>おばさん</b> いっか が あそび に きました,My aunt and her family came to visit.,おばさん,<b>おばさん</b> 一家[いっか]が 遊[あそ]びに 来[き]ました。,<b>（　）</b> 一家[いっか]が 遊[あそ]びに 来[き]ました。
882,ドル,ドル,dollar,この服は300<b>ドル</b>しました。,この ふく は さんびゃく<b>どる</b> しました,These clothes cost 300 dollars.,ドル,この 服[ふく]は 300[さんびゃく]<b>ドル</b>しました。,この 服[ふく]は 300[さんびゃく]<b>（　）</b>しました。
883,洋服,ようふく,clothes,今日は<b>洋服</b>を買いに行きます。,きょう は <b>ようふく</b> を かい に いきます,I'm going to buy some clothes today.,洋服[ようふく],今日[きょう]は<b> 洋服[ようふく]</b>を 買[か]いに 行[い]きます。,今日[きょう]は<b>（　）</b>を 買[か]いに 行[い]きます。
884,教室,きょうしつ,"classroom, class",私の<b>教室</b>は3階にあります。,わたし の <b>きょうしつ</b> は さんがい に あります,My classroom is on the third floor.,教室[きょうしつ],私[わたし]の<b> 教室[きょうしつ]</b>は 3階[さんがい]にあります。,私[わたし]の<b>（　）</b>は 3階[さんがい]にあります。
885,図書室,としょしつ,library,<b>図書室</b>で勉強した。,<b>としょしつ</b> で べんきょう した,I studied at the library.,図書室[としょしつ],<b> 図書室[としょしつ]</b>で 勉強[べんきょう]した。,<b>（　）</b>で 勉強[べんきょう]した。
886,販売,はんばい,"sale, selling",前売券は窓口で<b>販売</b>しています。,まえうりけん は まどぐち で <b>はんばい</b> して います,Advance tickets are being sold at the ticket window.,販売[はんばい],前売券[まえうりけん]は 窓口[まどぐち]で<b> 販売[はんばい]</b>しています。,前売券[まえうりけん]は 窓口[まどぐち]で<b>（　）</b>しています。
887,窓,まど,"window, windowpane",<b>窓</b>を開けてください。,<b>まど</b> を あけて ください,Please open the window.,窓[まど],<b> 窓[まど]</b>を 開[あ]けてください。,<b>（　）</b>を 開[あ]けてください。
888,土地,とち,land,ここは父の<b>土地</b>です。,ここ は ちち の <b>とち</b> です,This is my father's land.,土地[とち],ここは 父[ちち]の<b> 土地[とち]</b>です。,ここは 父[ちち]の<b>（　）</b>です。
889,届く,とどく,"reach, be received",昨日、父から手紙が<b>届いた</b>。,きのう ちち から てがみ が <b>とどいた</b>,I got a letter from my father yesterday.,届[とど]く,昨日[きのう]、 父[ちち]から 手紙[てがみ]が<b> 届[とど]いた</b>。,昨日[きのう]、 父[ちち]から 手紙[てがみ]が<b>（　）</b>。
890,ずっと,ずっと,"all day, from start to finish",父は休みの日は<b>ずっと</b>テレビを見ている。,ちち は やすみ の ひ は <b>ずっと</b> てれび を みて いる,My father spends his days off watching television all the time.,ずっと,父[ちち]は 休[やす]みの 日[ひ]は<b>ずっと</b>テレビを 見[み]ている。,父[ちち]は 休[やす]みの 日[ひ]は<b>（　）</b>テレビを 見[み]ている。
891,運転,うんてん,drive,父は安全<b>運転</b>だ。,ちち は あんぜん <b>うんてん</b> だ,My father drives safely.,運転[うんてん],父[ちち]は 安全[あんぜん]<b> 運転[うんてん]</b>だ。,父[ちち]は 安全[あんぜん]<b>（　）</b>だ。
892,サラリーマン,サラリーマン,"office worker, salaried worker, company employee",父は<b>サラリーマン</b>です。,ちち は <b>さらりーまん</b> です,My father's a company employee.,サラリーマン,父[ちち]は<b>サラリーマン</b>です。,父[ちち]は<b>（　）</b>です。
893,ネクタイ,ネクタイ,"tie, necktie",父の日に<b>ネクタイ</b>をプレゼントした。,ちちのひ に <b>ねくたい</b> を ぷれぜんと した,I gave him a tie on Father's Day.,ネクタイ,父[ちち]の 日[ひ]に<b>ネクタイ</b>をプレゼントした。,父[ちち]の 日[ひ]に<b>（　）</b>をプレゼントした。
894,ひげ,ひげ,"moustache, beard",父は<b>ひげ</b>をはやしています。,ちち は <b>ひげ</b> を はやして います,My father's growing a beard.,ひげ,父[ちち]は<b>ひげ</b>をはやしています。,父[ちち]は<b>（　）</b>をはやしています。
895,あくび,あくび,yawn,父が<b>あくび</b>をした。,ちち が <b>あくび</b> を した,My father yawned.,あくび,父[ちち]が<b>あくび</b>をした。,父[ちち]が<b>（　）</b>をした。
896,不動産屋,ふどうさんや,"real estate agent, realtor",私の父は<b>不動産屋</b>です。,わたし の ちち は <b>ふどうさんや</b> です,My father's a real estate agent.,不動産屋[ふどうさんや],私[わたし]の 父[ちち]は<b> 不動産屋[ふどうさんや]</b>です。,私[わたし]の 父[ちち]は<b>（　）</b>です。
897,外国,がいこく,foreign country,母はまだ<b>外国</b>に行ったことがありません。,はは は まだ <b>がいこく</b> に いった こと が ありません,My mother hasn't been abroad yet.,外国[がいこく],母[はは]はまだ<b> 外国[がいこく]</b>に 行[い]ったことがありません。,母[はは]はまだ<b>（　）</b>に 行[い]ったことがありません。
898,買い物,かいもの,"shopping, purchase",母は<b>買い物</b>に出かけています。,はは は <b>かいもの</b> に でかけて います,My mother's gone shopping.,買[か]い 物[もの],母[はは]は<b> 買[か]い 物[もの]</b>に 出[で]かけています。,母[はは]は<b>（　）</b>に 出[で]かけています。
899,台所,だいどころ,kitchen,お母さんは<b>台所</b>にいます。,おかあさん は <b>だいどころ</b> に います,Mother's in the kitchen.,台所[だいどころ],お 母[かあ]さんは<b> 台所[だいどころ]</b>にいます。,お 母[かあ]さんは<b>（　）</b>にいます。
900,毎週,まいしゅう,every week,私は<b>毎週</b>母に電話をします。,わたし は <b>まいしゅう</b> はは に でんわ を します,I call my mother every week.,毎週[まいしゅう],私[わたし]は<b> 毎週[まいしゅう]</b> 母[はは]に 電話[でんわ]をします。,私[わたし]は<b>（　）</b> 母[はは]に 電話[でんわ]をします。
901,読み,よみ,"reading, judgment, foresight",母に<b>読み</b>書きを習いました。,はは に <b>よみ</b>かき を ならいました,I learned reading and writing from my mother.,読[よ]み,母[はは]に<b> 読[よ]み</b> 書[か]きを 習[なら]いました。,母[はは]に<b>（　）</b> 書[か]きを 習[なら]いました。
902,スープ,スープ,"soup, broth",母がコーン<b>スープ</b>を作っている。,はは が こーん<b>すーぷ</b> を つくって いる,My mother made some corn chowder.,スープ,母[はは]がコーン<b>スープ</b>を 作[つく]っている。,母[はは]がコーン<b>（　）</b>を 作[つく]っている。
903,タイプライター,タイプライター,typewriter,母は古い<b>タイプライター</b>を持っています。,はは は ふるい <b>たいぷらいたー</b> を もって います,My mother has an old typewriter.,タイプライター,母[はは]は 古[ふる]い<b>タイプライター</b>を 持[も]っています。,母[はは]は 古[ふる]い<b>（　）</b>を 持[も]っています。
904,レコード,レコード,record,ジャズの<b>レコード</b>をかけました。,じゃず の <b>れこーど</b> を かけました,I put on a jazz record.,レコード,ジャズの<b>レコード</b>をかけました。,ジャズの<b>（　）</b>をかけました。
905,似ている,にている,"look like, resemble",私は母に<b>似ています</b>。,わたし は はは に <b>にて います</b>,I look like my mother.,似[に]ている,私[わたし]は 母[はは]に<b> 似[に]ています</b>。,私[わたし]は 母[はは]に<b>（　）</b>。
906,どんどん,どんどん,knock,ドアを<b>どんどん</b>とたたいた。,どあ を <b>どんどん</b> と たたいた,I banged on the door.,どんどん,ドアを<b>どんどん</b>とたたいた。,ドアを<b>（　）</b>とたたいた。
907,親切,しんせつ,"kind, friendly",<b>親切</b>にしてくださってどうもありがとうございます。,<b>しんせつ</b> に して くださって どうも ありがとう ございます,Thank you for being so kind to me.,親切[しんせつ],<b> 親切[しんせつ]</b>にしてくださってどうもありがとうございます。,<b>（　）</b>にしてくださってどうもありがとうございます。
908,店員,てんいん,"clerk, salesperson",あの<b>店員</b>はとても親切です。,あの <b>てんいん</b> は とても しんせつ です,That shop clerk is very kind.,店員[てんいん],あの<b> 店員[てんいん]</b>はとても 親切[しんせつ]です。,あの<b>（　）</b>はとても 親切[しんせつ]です。
909,会話,かいわ,conversation,親子の<b>会話</b>は大切です。,おやこ の <b>かいわ</b> は たいせつ です,Conversation between parents and children is important.,会話[かいわ],親子[おやこ]の<b> 会話[かいわ]</b>は 大切[たいせつ]です。,親子[おやこ]の<b>（　）</b>は 大切[たいせつ]です。
910,不親切,ふしんせつ,"unkind, inattentive",その店員は<b>不親切</b>だった。,その てんいん は <b>ふしんせつ</b> だった,That store clerk was unkind.,不親切[ふしんせつ],その 店員[てんいん]は<b> 不親切[ふしんせつ]</b>だった。,その 店員[てんいん]は<b>（　）</b>だった。
911,人々,ひとびと,people,あの村の<b>人々</b>はとても親切です。,あの むら の <b>ひとびと</b> は とても しんせつ です,People in that village are very kind.,人々[ひとびと],あの 村[むら]の<b> 人々[ひとびと]</b>はとても 親切[しんせつ]です。,あの 村[むら]の<b>（　）</b>はとても 親切[しんせつ]です。
912,家族,かぞく,"family, household",うちは五人<b>家族</b>です。,うち は ごにん <b>かぞく</b> です,We're a family of five.,家族[かぞく],うちは 五人[ごにん]<b> 家族[かぞく]</b>です。,うちは 五人[ごにん]<b>（　）</b>です。
913,万歳,ばんざい,Banzai! Hurrah! Long live...!,勝った、<b>万歳</b>!,かった <b>ばんざい</b>,We won--hurray!,万歳[ばんざい],勝[か]った、<b> 万歳[ばんざい]</b>!,勝[か]った、<b>（　）</b>!
914,長女,ちょうじょ,eldest daughter,うちの<b>長女</b>は10歳です。,うち の <b>ちょうじょ</b> は じゅっさい です,Our oldest daughter is ten.,長女[ちょうじょ],うちの<b> 長女[ちょうじょ]</b>は 10歳[じゅっさい]です。,うちの<b>（　）</b>は 10歳[じゅっさい]です。
915,姉さん,ねえさん,"older sister, girl, miss",<b>姉さん</b>、ごめんね。,<b>ねえさん</b> ごめん ね,I'm sorry sis.,姉[ねえ]さん,<b> 姉[ねえ]さん</b>、ごめんね。,<b>（　）</b>、ごめんね。
916,高校,こうこう,high school,妹は<b>高校</b>に通っています。,いもうと は <b>こうこう</b> に かよって います,My little sister goes to high school.,高校[こうこう],妹[いもうと]は<b> 高校[こうこう]</b>に 通[かよ]っています。,妹[いもうと]は<b>（　）</b>に 通[かよ]っています。
917,入学,にゅうがく,"enter a school, matriculate",妹は九月にアメリカの大学に<b>入学</b>します。,いもうと は くがつ に あめりか の だいがく に <b>にゅうがく</b> します,My little sister's entering college in the United States in September.,入学[にゅうがく],妹[いもうと]は 九月[くがつ]にアメリカの 大学[だいがく]に<b> 入学[にゅうがく]</b>します。,妹[いもうと]は 九月[くがつ]にアメリカの 大学[だいがく]に<b>（　）</b>します。
918,おしゃべり,おしゃべり,"chatter, talkative",妹はとても<b>おしゃべり</b>です。,いもうと は とても <b>おしゃべり</b> です,My little sister's very talkative.,おしゃべり,妹[いもうと]はとても<b>おしゃべり</b>です。,妹[いもうと]はとても<b>（　）</b>です。
919,チョコレート,チョコレート,chocolate,妹は<b>チョコレート</b>が大好きです。,いもうと は <b>ちょこれーと</b> が だいすき です,My little sister loves chocolate.,チョコレート,妹[いもうと]は<b>チョコレート</b>が 大好[だいす]きです。,妹[いもうと]は<b>（　）</b>が 大好[だいす]きです。
920,二十歳,はたち,20 years old,妹は来年、<b>二十歳</b>になります。,いもうと は らいねん <b>はたち</b> に なります,My little sister will be 20 next year.,二十歳[はたち],妹[いもうと]は 来年[らいねん]、<b> 二十歳[はたち]</b>になります。,妹[いもうと]は 来年[らいねん]、<b>（　）</b>になります。
921,数学,すうがく,mathematics,兄は<b>数学</b>の先生です。,あに は <b>すうがく</b> の せんせい です,My big brother's a math teacher.,数学[すうがく],兄[あに]は<b> 数学[すうがく]</b>の 先生[せんせい]です。,兄[あに]は<b>（　）</b>の 先生[せんせい]です。
922,ゴルフ,ゴルフ,golf,兄は<b>ゴルフ</b>を始めました。,あに は <b>ごるふ</b> を はじめました,My older brother started playing golf.,ゴルフ,兄[あに]は<b>ゴルフ</b>を 始[はじ]めました。,兄[あに]は<b>（　）</b>を 始[はじ]めました。
923,アルバイト,アルバイト,"casual job, student job, part-time job",兄は<b>アルバイト</b>をしています。,あに は <b>あるばいと</b> を して います,My big brother works part-time.,アルバイト,兄[あに]は<b>アルバイト</b>をしています。,兄[あに]は<b>（　）</b>をしています。
924,バイク,バイク,"motorbike, motor cycle",兄は<b>バイク</b>が大好きです。,あに は <b>ばいく</b> が だいすき です,My older brother loves motorcycles.,バイク,兄[あに]は<b>バイク</b>が 大好[だいす]きです。,兄[あに]は<b>（　）</b>が 大好[だいす]きです。
925,コーラ,コーラ,"cola, coke",私の兄は<b>コーラ</b>が好きだ。,わたし の あに は <b>こーら</b> が すき だ,My older brother likes cola.,コーラ,私[わたし]の 兄[あに]は<b>コーラ</b>が 好[す]きだ。,私[わたし]の 兄[あに]は<b>（　）</b>が 好[す]きだ。
926,二階,にかい,"second floor, upstairs",兄は<b>二階</b>にいます。,あに は <b>にかい</b> に います,My elder brother is on the second floor.,二階[にかい],兄[あに]は<b> 二階[にかい]</b>にいます。,兄[あに]は<b>（　）</b>にいます。
927,兄さん,にいさん,older brother,<b>兄さん</b>、おめでとう。,<b>にいさん</b> おめでとう,"Congratulations, big brother.",兄[にい]さん,<b> 兄[にい]さん</b>、おめでとう。,<b>（　）</b>、おめでとう。
928,アイスクリーム,アイスクリーム,ice cream,弟は<b>アイスクリーム</b>が大好きです。,おとうと は <b>あいすくりーむ</b> が だいすき です,My little brother loves ice cream.,アイスクリーム,弟[おとうと]は<b>アイスクリーム</b>が 大好[だいす]きです。,弟[おとうと]は<b>（　）</b>が 大好[だいす]きです。
929,安全,あんぜん,"safety, security",<b>安全</b>が第一です。,<b>あんぜん</b> が だいいち です,Safety comes first.,安全[あんぜん],<b> 安全[あんぜん]</b>が 第一[だいいち]です。,<b>（　）</b>が 第一[だいいち]です。
930,合格,ごうかく,"passing an examination, eligibility",娘が入学試験に<b>合格</b>しました。,むすめ が にゅうがく しけん に <b>ごうかく</b> しました,My daughter passed the university entrance exam.,合格[ごうかく],娘[むすめ]が 入学試験[にゅうがく しけん]に<b> 合格[ごうかく]</b>しました。,娘[むすめ]が 入学試験[にゅうがく しけん]に<b>（　）</b>しました。
931,練習,れんしゅう,"practice, training",娘は今、バイオリンを<b>練習</b>しています。,むすめ は いま ばいおりん を <b>れんしゅう</b> して います,My daughter is practicing the violin now.,練習[れんしゅう],娘[むすめ]は 今[いま]、バイオリンを<b> 練習[れんしゅう]</b>しています。,娘[むすめ]は 今[いま]、バイオリンを<b>（　）</b>しています。
932,ピンク,ピンク,pink,娘が<b>ピンク</b>のドレスを着ている。,むすめ が <b>ぴんく</b> の どれす を きて いる,My daughter's wearing a pink dress.,ピンク,娘[むすめ]が<b>ピンク</b>のドレスを 着[き]ている。,娘[むすめ]が<b>（　）</b>のドレスを 着[き]ている。
933,引き算,ひきざん,subtraction,娘は学校で<b>引き算</b>を習っている。,むすめ は がっこう で <b>ひきざん</b> を ならって いる,My daughter's learning subtraction at school.,引[ひ]き 算[ざん],娘[むすめ]は 学校[がっこう]で<b> 引[ひ]き 算[ざん]</b>を 習[なら]っている。,娘[むすめ]は 学校[がっこう]で<b>（　）</b>を 習[なら]っている。
934,足し算,たしざん,addition,娘は学校で<b>足し算</b>を習った。,むすめ は がっこう で <b>たしざん</b> を ならった,My daughter learned addition in school.,足[た]し 算[ざん],娘[むすめ]は 学校[がっこう]で<b> 足[た]し 算[ざん]</b>を 習[なら]った。,娘[むすめ]は 学校[がっこう]で<b>（　）</b>を 習[なら]った。
935,中学,ちゅうがく,junior high school,息子は<b>中学</b>に通っています。,むすこ は <b>ちゅうがく</b> に かよって います,My son goes to junior high.,中学[ちゅうがく],息子[むすこ]は<b> 中学[ちゅうがく]</b>に 通[かよ]っています。,息子[むすこ]は<b>（　）</b>に 通[かよ]っています。
936,中学生,ちゅうがくせい,junior high school student,息子は<b>中学生</b>です。,むすこ は <b>ちゅうがくせい</b> です,My son is a junior high school student.,中学生[ちゅうがくせい],息子[むすこ]は<b> 中学生[ちゅうがくせい]</b>です。,息子[むすこ]は<b>（　）</b>です。
937,中学校,ちゅうがっこう,junior high school,息子の<b>中学校</b>は家から5分です。,むすこ の <b>ちゅうがっこう</b> は いえ から ごふん です,My son's junior high is five minutes from our house.,中学校[ちゅうがっこう],息子[むすこ]の<b> 中学校[ちゅうがっこう]</b>は 家[いえ]から 5分[ごふん]です。,息子[むすこ]の<b>（　）</b>は 家[いえ]から 5分[ごふん]です。
938,小学生,しょうがくせい,"schoolchildren, schoolboy",うちの息子は来年、<b>小学生</b>になります。,うち の むすこ は らいねん <b>しょうがくせい</b> に なります,Our son will start primary school next year.,小学生[しょうがくせい],うちの 息子[むすこ]は 来年[らいねん]、<b> 小学生[しょうがくせい]</b>になります。,うちの 息子[むすこ]は 来年[らいねん]、<b>（　）</b>になります。
939,客,きゃく,"visitor, customer",その店は若い<b>客</b>が多いです。,その みせ は わかい <b>きゃく</b> が おおい です,That shop has a lot of young customers.,客[きゃく],その 店[みせ]は 若[わか]い<b> 客[きゃく]</b>が 多[おお]いです。,その 店[みせ]は 若[わか]い<b>（　）</b>が 多[おお]いです。
940,発表,はっぴょう,announcement,合格者が<b>発表</b>された。,ごうかくしゃ が <b>はっぴょう</b> された,Those who passed were announced.,発表[はっぴょう],合格者[ごうかくしゃ]が<b> 発表[はっぴょう]</b>された。,合格者[ごうかくしゃ]が<b>（　）</b>された。
941,若者,わかもの,"young person, youth",最近の<b>若者</b>は本を読まない。,さいきん の <b>わかもの</b> は ほん を よまない,Young people these days don't read books.,若者[わかもの],最近[さいきん]の<b> 若者[わかもの]</b>は 本[ほん]を 読[よ]まない。,最近[さいきん]の<b>（　）</b>は 本[ほん]を 読[よ]まない。
942,企業,きぎょう,"corporation, business",彼女はアメリカの<b>企業</b>で働いています。,かのじょ は あめりか の <b>きぎょう</b> で はたらいて います,She works in an American company.,企業[きぎょう],彼女[かのじょ]はアメリカの<b> 企業[きぎょう]</b>で 働[はたら]いています。,彼女[かのじょ]はアメリカの<b>（　）</b>で 働[はたら]いています。
943,計画,けいかく,"plan, project",彼は一人旅の<b>計画</b>を立てた。,かれ は ひとりたび の <b>けいかく</b> を たてた,He planned a journey alone.,計画[けいかく],彼[かれ]は 一人旅[ひとりたび]の<b> 計画[けいかく]</b>を 立[た]てた。,彼[かれ]は 一人旅[ひとりたび]の<b>（　）</b>を 立[た]てた。
944,ロボット,ロボット,robot,彼は<b>ロボット</b>の研究をしています。,かれ は <b>ろぼっと</b> の けんきゅう を しています 。,He is doing research on robots.,ロボット,彼[かれ]は<b>ロボット</b>の 研究[けんきゅう]をしています。,彼[かれ]は<b>（　）</b>の 研究[けんきゅう]をしています。
945,パソコン,パソコン,personal computer,彼は<b>パソコン</b>を2台持っています。,かれ は <b>ぱそこん</b> を にだい もって います,He has two personal computers.,パソコン,彼[かれ]は<b>パソコン</b>を 2台持[にだい も]っています。,彼[かれ]は<b>（　）</b>を 2台持[にだい も]っています。
946,明らか,あきらか,"clear, obvious",<b>明らか</b>に彼が悪い。,<b>あきらか</b> に かれ が わるい,It's clearly his fault.,明[あき]らか,<b> 明[あき]らか</b>に 彼[かれ]が 悪[わる]い。,<b>（　）</b>に 彼[かれ]が 悪[わる]い。
947,工場,こうじょう,"factory, plant",彼は食品<b>工場</b>で働いています。,かれ は しょくひん <b>こうじょう</b> で はたらいて います,He's working at the food factory.,工場[こうじょう],彼[かれ]は 食品[しょくひん]<b> 工場[こうじょう]</b>で 働[はたら]いています。,彼[かれ]は 食品[しょくひん]<b>（　）</b>で 働[はたら]いています。
948,代表,だいひょう,representative,彼がクラスの<b>代表</b>だ。,かれ が くらす の <b>だいひょう</b> だ,He's the class representative.,代表[だいひょう],彼[かれ]がクラスの<b> 代表[だいひょう]</b>だ。,彼[かれ]がクラスの<b>（　）</b>だ。
949,能力,のうりょく,"ability, capacity",彼は<b>能力</b>のある社員です。,かれ は <b>のうりょく</b> の ある しゃいん です,He's a resourceful employee.,能力[のうりょく],彼[かれ]は<b> 能力[のうりょく]</b>のある 社員[しゃいん]です。,彼[かれ]は<b>（　）</b>のある 社員[しゃいん]です。
950,運動,うんどう,"movement, exercise",彼はもっと<b>運動</b>した方がいい。,かれ は もっと <b>うんどう</b> した ほう が いい,He should exercise more.,運動[うんどう],彼[かれ]はもっと<b> 運動[うんどう]</b>した 方[ほう]がいい。,彼[かれ]はもっと<b>（　）</b>した 方[ほう]がいい。
951,要求,ようきゅう,"requirement, demand",彼は私の<b>要求</b>にこたえた。,かれ は わたし の <b>ようきゅう</b> に こたえた,He answered my demands.,要求[ようきゅう],彼[かれ]は 私[わたし]の<b> 要求[ようきゅう]</b>にこたえた。,彼[かれ]は 私[わたし]の<b>（　）</b>にこたえた。
952,実行,じっこう,"practice, execution",彼はその計画を<b>実行</b>した。,かれ は その けいかく を <b>じっこう</b> した,He executed the plan.,実行[じっこう],彼[かれ]はその 計画[けいかく]を<b> 実行[じっこう]</b>した。,彼[かれ]はその 計画[けいかく]を<b>（　）</b>した。
953,まとめる,まとめる,"gather together, put in order",彼女は荷物を<b>まとめて</b>出て行った。,かのじょ は にもつ を <b>まとめて</b> でて いった,She packed her luggage and left.,まとめる,彼女[かのじょ]は 荷物[にもつ]を<b>まとめて</b> 出[で]て 行[い]った。,彼女[かのじょ]は 荷物[にもつ]を<b>（　）</b> 出[で]て 行[い]った。
954,残す,のこす,"leave, reserve, leave undone",彼女はメッセージを<b>残しました</b>。,かのじょ は めっせーじ を <b>のこしました</b>,She left a message.,残[のこ]す,彼女[かのじょ]はメッセージを<b> 残[のこ]しました</b>。,彼女[かのじょ]はメッセージを<b>（　）</b>。
955,言語,げんご,"language, speech",彼はアジアの<b>言語</b>を研究している。,かれ は あじあ の <b>げんご</b> を けんきゅう して いる,He's doing research in Asian languages.,言語[げんご],彼[かれ]はアジアの<b> 言語[げんご]</b>を 研究[けんきゅう]している。,彼[かれ]はアジアの<b>（　）</b>を 研究[けんきゅう]している。
956,教育,きょういく,education,彼は海外で<b>教育</b>を受けました。,かれ は かいがい で <b>きょういく</b> を うけました,He received his education abroad.,教育[きょういく],彼[かれ]は 海外[かいがい]で<b> 教育[きょういく]</b>を 受[う]けました。,彼[かれ]は 海外[かいがい]で<b>（　）</b>を 受[う]けました。
957,同様,どうよう,similar,私たちは彼を家族<b>同様</b>に思っている。,わたしたち は かれ を かぞく <b>どうよう</b> に おもって いる,We think of him just like family.,同様[どうよう],私[わたし]たちは 彼[かれ]を 家族[かぞく]<b> 同様[どうよう]</b>に 思[おも]っている。,私[わたし]たちは 彼[かれ]を 家族[かぞく]<b>（　）</b>に 思[おも]っている。
958,当時,とうじ,"at that time, at the present time",彼女は<b>当時</b>、まだ3才だった。,かのじょ は <b>とうじ</b> まだ さんさい だった,She was only three years old at the time.,当時[とうじ],彼女[かのじょ]は<b> 当時[とうじ]</b>、まだ 3才[さんさい]だった。,彼女[かのじょ]は<b>（　）</b>、まだ 3才[さんさい]だった。
959,海外,かいがい,"overseas, abroad",彼は<b>海外</b>での生活が長いです。,かれ は <b>かいがい</b> で の せいかつ が ながい です,He's lived abroad for a long time.,海外[かいがい],彼[かれ]は<b> 海外[かいがい]</b>での 生活[せいかつ]が 長[なが]いです。,彼[かれ]は<b>（　）</b>での 生活[せいかつ]が 長[なが]いです。
